Company Name,Legal Name,Company Description,Director Name,Director Position,Phone Numbers,Email Addresses,Websites,Addresses,Activity Types,Social Links,Last Updated,Source URL,Scraped At
"""РЕНШИН"" ГРАДОСТРОИТЕЛЬНО-ИНВЕСТИЦИОННАЯ КОМПАНИЯ",,,Эдуард Марутян,генеральный директор,+37411900100; +37411900200; +37411900300,,http://www.renshin.am/; https://ru.skyline-evn.am/,"Армения, 0002, Ереван Павстос Бузанди ул. , 91 дом, помещение 72; Армения, 0009, Ереван Терян ул., 107 дом","Инвестирование в строительство; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Аренда жилого помещения Аренда жилого помещения от застройщика Аренда квартиры от застройщика Аренда офиса Аренда офиса от застройщика Аренда рабочего помещения от застройщика Аренда частного дома от застройщика Разные услуги Управление недвижимостью",https://www.facebook.com/renshin.llc; https://www.facebook.com/ArtlifeKempinski; https://www.facebook.com/skylineevn; https://www.instagram.com/artlife.kempinski; https://www.instagram.com/skyline.evn,30.06.2026,https://www.spyur.am/ru/companies/renshin-urban-investments/6063,2026-07-12T21:03:58+00:00
"""ДЖЕЙАРПИ"" КОМПАНИЯ-ЗАСТРОЙЩИК (общество с ограниченной ответственностью/ООО ""ГРИН РЕЗИДЕНШЛ ПАРК"")",,"""Стань частью великого"" Официальный представитель брендов гостиничной сети ""Wyndham Hotels & Resorts"" в Республике Армения.",,,+37499008000,,https://www.tiktok.com/@green.residential,"Армения, 0002, Ереван Туманян ул., 35/11 дом","Компания ""Green Residential Park"" работает на рынке недвижимости Армении с 2010 года. Успешно реализованы жилые и коммерческие проекты в Ереване, в том числе по адресам Багян 3/3, Бузанди 3 (""Royal Classic House"") и Давташен (""Double Towers""). В настоящее время в Цахкадзоре осуществляется строительство проекта ""Wyndham Grand Tsaghkadzor"" - первого международного пятизвездочного отеля в Армении под брендом ""Wyndham Hotels & Resorts"". Проект представляет собой надежную и долгосрочную инвестиционную возможность для армянских инвесторов, обеспечивая стабильный и прогнозируемый поток доходов под управлением международного бренда. Компания является официальным представителем брендов гостиничной сети ""Wyndham Hotels & Resorts"" в РА; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа гостиниц-новостроек от застройщика Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир от застройщика",https://www.facebook.com/greenresidentialpark; https://www.instagram.com/greenresidentialpark; https://www.linkedin.com/company/green-residential-park/; https://t.me/wyndham_tsaghkadzor; https://www.youtube.com/@greenresidentialpark; https://www.youtube.com/watch?v=jI8jkAxjnCI,26.05.2026,https://www.spyur.am/ru/companies/grp-development-company/52995,2026-07-12T21:04:04+00:00
"""ФОРМА"" КОМПАНИЯ ПО УПРАВЛЕНИЮ ЗАСТРОЙКОЙ",,,Шаген Инанц,директор,+37444701111,,https://forma.am/,"Армения, 0014, Ереван Азатутян пр., 24/15 дом (в здании бизнес-центра ""Бизнес Парк"")","ООО ""ФОРМА"" осуществляет комплексное управление проектами по застройке, включающее функции исполнительного директора, организацию тендеров, финансовые, бухгалтерские и юридические услуги. Компания проводит все переговоры (с партнёрами, банками, государственными ведомствами, инвесторами и другими структурами и лицами).; Посреднические услуги Ведение переговоров от лица/имени компании-застройщика Осуществление (совершение) функций исполнительного директора компании-застройщика",https://www.facebook.com/formaconstructionmanagement; https://www.instagram.com/forma_construction_management,18.03.2026,https://www.spyur.am/ru/companies/forma-construction-management-company/57098,2026-07-12T21:04:13+00:00
"""НГМД"" общество с ограниченной ответственностью (ООО)",,,Арнольд Антонян,директор,+37412610109,,,"Армения, 0023, Ереван Севани ул., 12 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",,14.01.2026,https://www.spyur.am/ru/companies/ngmd/84690,2026-07-12T21:04:21+00:00
"""АДРЕС КОНСТРАКШН"" КОМПАНИЯ-ЗАСТРОЙЩИК",,,,,+37499930303,,https://addressconstruction.com/,"Армения, Ереван","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ СТРОИТЕЛЬСТВО СТРОИТЕЛЬСТВО ЗДАНИЙ И СООРУЖЕНИЙ",,10.11.2025,https://www.spyur.am/ru/companies/address-construction-real-estate-development-company/43244,2026-07-12T21:04:24+00:00
"""МИЛ ХАУС""",,,,,+37444345250,,,"Армения, 0076, Ереван Нор Норка 4-й массив, Тевосян ул. , 3/1 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/Milhouse.off,06.11.2025,https://www.spyur.am/ru/companies/mil-house/45422,2026-07-12T21:04:37+00:00
"""ТЕХНОДОМ.ЭЙЭМ"" КОМПАНИЯ-ЗАСТРОЙЩИК",,,,,+37499401093; +37455065055,,,"Армения, Ереван Ахпюр Серопи ул. , 52/6 дом; Армения, Ереван Норки Айгинер ул., 180 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/profile.php?id=61570378181866,27.11.2025,https://www.spyur.am/ru/companies/technodomam-real-estate-development-company/48315,2026-07-12T21:04:51+00:00
"""НАТ КОНСТРАКШН"" общество с ограниченной ответственностью (ООО)",,,,,+37455455440,,https://townhouse.am/,"Армения, 0011, Ереван Арменак Арменакян ул. , 2 дом (в здании бизнес-центра ""Синерджи"")","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/nutconstruction.am,30.03.2026,https://www.spyur.am/ru/companies/nut-construction/48681,2026-07-12T21:04:54+00:00
"""КООРДИНАТ"" СТРОИТЕЛЬНАЯ КОМПАНИЯ общество с ограниченной ответственностью (ООО)",,,,,+37443323323,,https://coordinat.am/,"Армения, Котайкский марз, Абовян Барекамутян ул., 1/1 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/coordinat.armenia,28.11.2025,https://www.spyur.am/ru/companies/coordinat-construction-company/51623,2026-07-12T21:04:55+00:00
"""РУТ КОНСТРАКТ""",,,Рафаэл Варданян,директор,+37441221205,,https://zoar.am/,"Армения, Ереван Эзрас Асратян ул., 78 дом","Торговые марки, бренды ""ГАРДЕНС РЕЗИДЕНС"", застройщик ""РАЙЗ РЕЗИДЕНС"", застройщик",https://www.facebook.com/people/Root-Construct/100075851746775/,29.09.2025,https://www.spyur.am/ru/companies/root-construct/52190,2026-07-12T21:04:57+00:00
"""ТРОЙКА КАПИТАЛ"" общество с ограниченной ответственностью (ООО)",,,,,+37477049049,,,"Армения, 1101, Армавирский марз, Эчмиадзин Маштоци ул., 110 дом","Торговые марки, бренды ""АРАРАТ ПАРК"" (Армения), застройщик",https://www.facebook.com/profile.php?id=100090003644845,20.01.2026,https://www.spyur.am/ru/companies/triple-capital/52706,2026-07-12T21:04:59+00:00
"""АРЕВАН РЕЗИДЕНС""",,,,,+37498661551; +37493414161,,,"Армения, Котайкский марз, Ариндж село Паруйр Севаки квартал, 6-я улица, 10 земельный участок","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/arevanresidence,28.04.2026,https://www.spyur.am/ru/companies/arevan-residence/55222,2026-07-12T21:05:11+00:00
"""НОВАТУН"" КОМПАНИЯ-ЗАСТРОЙЩИК",,,Армен Амирян,директор,+37441703703,,,"Армения, 0025, Ереван Айгестан квартал, Манук Абегян ул. , 5 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА",https://www.facebook.com/ArmNovaTun,25.09.2025,https://www.spyur.am/ru/companies/novatun-real-estate-development-company/55310,2026-07-12T21:05:18+00:00
"""МАГНИТШИН"" СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ",,,Мурад Саркисян,директор,+37444080202,,,"Армения, Котайкский марз, Прошян село Геворк Чауши ул., 15, 15/1, 15/2, 15/3, 15/4, 15/5 дома","Торговые марки, бренды ""БРАВО ГАРДЕН РЕЗИДЕНС"", застройщик",https://www.facebook.com/magnitshin,27.03.2026,https://www.spyur.am/ru/companies/magnitshin-construction-organization/55889,2026-07-12T21:05:23+00:00
"""КОНТУР КОНСТРАКТ""",,,,,+37444708090,,https://contourconstruct.am/,"Армения, 0054, Ереван Егварди шоссе, 108 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ СТРОИТЕЛЬСТВО РЕМОНТ ЗДАНИЙ И СООРУЖЕНИЙ",https://www.instagram.com/contour__construct/,25.02.2026,https://www.spyur.am/ru/companies/contour-construct/56189,2026-07-12T21:05:28+00:00
"""АР ШИН КОНСТРАКТ""",,,,,+37496002100,,,"Армения, Ереван Норашен (16-й квартал), 47/5 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/ARShinConstructArmenia,07.10.2025,https://www.spyur.am/ru/companies/ar-shin-construct/56190,2026-07-12T21:05:34+00:00
"""ДАБЛ ВИ КОНСТРАКТ""",,,,,+37495001005; +37494200007,,,"Армения, Котайкский марз, Абовян","Торговые марки, бренды ""АРМЕНИЯ ГАРДЕН"" ЖИЛОЙ КОМПЛЕКС, застройщик",https://www.facebook.com/profile.php?id=61556116011807,27.10.2025,https://www.spyur.am/ru/companies/double-v-construct/56198,2026-07-12T21:05:35+00:00
"""РГ КОНСТРАКШН""",,,,,+37496870008,,,"Армения, 0014, Ереван Наири Зарян ул., 74а дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЖИЛЫЕ ПОМЕЩЕНИЯ (ЖИЛАЯ НЕДВИЖИМОСТЬ) ОТ ЗАСТРОЙЩИКА ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.instagram.com/rgconstruction.evn/?hl=en,24.03.2026,https://www.spyur.am/ru/companies/rg-construction/56253,2026-07-12T21:05:37+00:00
"""ГРИН ПРОДЖЕКТ""",,,,,+37494664522,,https://www.greenprojectarm.com/,"Армения, 0052, Ереван Царав Ахпюри ул. , 61/4 дом","Тип деятельности по классификатору ""Спюра"" КОМПАНИИ И НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ НЕДВИЖИМОСТЬ ЗАСТРОЙЩИК НЕДВИЖИМОСТИ",https://www.facebook.com/greenprojectyerevan/,14.11.2025,https://www.spyur.am/ru/companies/green-project/56298,2026-07-12T21:05:39+00:00
